API14,WellName,WellNumber,OperatorAlias,Field,TargetFormation,TotalDepth,VerticalDepth,DrillType,UpperPerforation,LowerPerforation,GrossPerforatedInterval,HorizontalLength,TreatmentJobCount,CumBOE,CumGas,CumOil,First6BOE,FirstProdDate,Township,Range,TR,County
5123404230000,BRENIMAN,4,EXTRACTION O&G,WATTENBERG,NIOBRARA,17390.0,6790.0,H,,,,11787.03,1.0,151569.0,263708.0,107618.0,59259.0,2017-02-01,06N,67W,06N67W,Weld
5123404240000,BRENIMAN,2,EXTRACTION O&G,WATTENBERG,NIOBRARA,17395.0,6790.0,H,,,,11816.22,1.0,132029.0,225694.0,94413.0,72147.0,2017-03-01,06N,67W,06N67W,Weld
5123404250000,BRENIMAN,11,EXTRACTION O&G,WATTENBERG,NIOBRARA,16901.0,6790.0,H,,,,11794.34,1.0,151738.0,209720.0,116785.0,78014.0,2017-02-01,06N,67W,06N67W,Weld
5123404260000,BRENIMAN,1,EXTRACTION O&G,WATTENBERG,NIOBRARA,17413.0,6790.0,H,,,,11838.64,1.0,117881.0,205323.0,83660.0,55912.0,2017-03-01,06N,67W,06N67W,Weld
5123404270000,BRENIMAN,10,EXTRACTION O&G,WATTENBERG,NIOBRARA,16830.0,6790.0,H,,,,11771.39,1.0,180234.0,280463.0,133490.0,85420.0,2017-02-01,06N,67W,06N67W,Weld
5123404280000,BRENIMAN,5,EXTRACTION O&G,WATTENBERG,NIOBRARA,17402.0,6790.0,H,,,,11779.34,1.0,129489.0,207763.0,94862.0,78743.0,2017-03-01,06N,67W,06N67W,Weld
5123404290000,BRENIMAN,9,EXTRACTION O&G,WATTENBERG,CODELL,17104.0,7115.0,H,,,,11770.82,1.0,159167.0,198312.0,126115.0,78649.0,2017-02-01,06N,67W,06N67W,Weld
5123404380000,MOTU EAST,28-21-16-1CH,LONGS PEAK RESOURCES ,DJ HORIZONTAL CODELL-FORT HAYS,CODELL,18779.0,8798.0,H,11200.0,12050.0,850.0,10404.94,3.0,119965.0,70554.0,108206.0,84218.0,2017-04-01,10+N,65W,10+N65W,Weld
5123404460000,ANSCHUTZ EQUUS FARMS,4-62-15-0857BH2,HIGHPOINT OPERATING CORPORATION,WATTENBERG,NIOBRARA,16164.0,6012.0,H,,,,9963.22,1.0,131082.0,336583.0,74985.0,34778.0,2015-05-01,04N,62W,04N62W,Weld
5123404480000,ANSCHUTZ EQUUS FARMS,4-62-15-0758CH2,HIGHPOINT OPERATING CORPORATION,WATTENBERG,NIOBRARA,16322.0,6094.0,H,,,,9974.62,1.0,111277.0,149960.0,86284.0,34016.0,2015-05-01,04N,62W,04N62W,Weld
