APINumber,gel,slick,xlinkgel,hybrid,VerticalDepth,nphf_sqrt,sqrtsandmass,First6BOE,sandperft,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
33061029100000,0,1,1,1.0,10818.75,120.52233486724533,2075.08851470073,71347.5,417.99420125135225,0,0,1
33061029110000,0,1,0,0.0,9291.77,101.23538512719958,2484.717872611696,56392.17,1024.7808387502414,1,0,0
33061029120000,0,1,0,0.0,9296.23,97.22645320000325,2348.6826411067987,51075.0,1054.9636824187844,1,0,0
33061029160000,0,1,1,1.0,10391.8,122.28787021553863,2192.932306601013,72086.5,448.16775949623155,0,0,1
33061029170000,0,1,1,1.0,10295.34,121.75846254717747,1522.5399213968954,102711.33,218.66964237007318,0,0,1
33061029180000,0,1,1,1.0,10393.95,121.40676752904848,2165.9345906843723,99253.67,446.1280269394962,0,0,1
33061029190000,0,1,0,0.0,9308.89,100.83954185661705,2451.7540298275203,77214.67,1011.1964631031982,1,0,0
33061029200000,0,1,0,0.0,9337.86,97.91722627736358,2369.263551351574,70415.33,1046.553556356155,1,0,0
33061029210000,0,1,0,0.0,9294.16,99.6208974154139,2585.278520186023,67242.67,1172.521385366472,1,0,0
33061029220000,0,1,0,0.0,9320.5,94.11728428855362,2258.3200013223495,64859.0,1100.565436777502,1,0,0
33061029240000,0,1,0,0.0,9349.02,97.65957813677275,2493.778557093168,69099.33,1170.4417373351657,1,0,0
33061029250000,0,1,1,1.0,9947.25,94.63426019075978,1576.7936935432865,36403.5,525.4658288893285,1,0,0
33061029260000,0,1,1,1.0,10452.46,119.88700180525169,1684.3015077331038,62642.5,279.5272326193594,0,0,1
33061029270000,0,1,1,1.0,10591.02,119.65911248982428,1707.1013795696986,47671.33,288.69910038990275,0,0,1
33061029280000,0,1,1,1.0,10468.39,119.49013851298534,1701.4788547455414,58526.17,287.9532648432337,0,0,1
33061029290000,0,1,1,1.0,10607.29,117.47792644515148,1702.0187565372694,35613.83,302.4820791923843,0,0,1
33061029300000,0,1,1,1.0,10463.72,119.2210266767252,1486.1606607718286,51253.33,221.09773480223973,0,0,1
33061029310000,0,1,1,1.0,10407.5,119.8321876703101,1966.7044817513017,75858.33,381.61490087894015,0,0,1
33061029320000,0,1,1,1.0,10496.37,117.1145302763599,1569.1625473593788,55879.5,259.41198347567195,0,0,1
33061029340000,0,1,1,1.0,9049.04,95.57040965619233,3506.853270181884,33153.5,2504.877120798385,1,0,0
33061029350000,0,1,1,1.0,10772.74,118.89450450652637,1604.8213234057168,110166.83,259.8361231031683,0,0,1
33061029360000,0,1,1,1.0,10537.91,122.5186238979708,1202.9499759130567,60399.0,134.15440110257816,0,0,1
33061029380000,0,1,1,1.0,10564.93,125.25136007985071,1697.4830445138255,69456.67,251.35130985123868,0,0,1
33061029400000,0,1,1,1.0,10019.33,120.7177418685937,1232.5084377096118,52542.67,146.78916666106738,0,0,1
